"bed","dauer.t3","case","ok.t3","swb1.t3","swb2.t3","swb3.t3","swb4.t3","swb5.t3","swb6.t3","swb7.t3","swb8.t3","swb9.t3","swb10.t3","swb11.t3","swb12.t3","t1.t3","t2.t3","t3.t3","t4.t3","t5.t3","t6.t3","t7.t3","t8.t3","gbk1.t3","gbk2.t3","gbk3.t3","gbk4.t3","gbk5.t3","gbk6.t3","gbk8.t3","gbk9.t3","gbk10.t3","gbk11.t3","gbk12.t3","check.t3","gbk13.t3","gbk14.t3","gbk15.t3","gbk16.t3","gbk17.t3","gbk18.t3","sv1.t3","sv2.t3","sv3.t3","sv4.t3","sv5.t3","sv6.t3","sv7.t3","sv8.t3","sv9.t3","sv10.t3","sv11.t3","sv12.t3","sv13.t3","sv14.t3","sv15.t3","sv16.t3","sv17.t3","sv18.t3","so1.t3","so2.t3","so3.t3","so4.t3","so5.t3","so6.t3","so7.t3","so8.t3","so9.t3","so10.t3","so11.t3","so12.t3","so13.t3","sr1.t3","sr2.t3","sr3.t3","sr4.t3","sr5.t3","sr6.t3","sr7.t3","age.t3","gender.t3","edu.t3","income.t3","pol_orient.t3","gender.t3.d"
NA,405,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA
1,387,7,1,3,2,3,2,3,2,4,3,3,3,3,2,2,4,2,4,2,2,4,2,6,4,2,2,2,5,3,5,3,6,5,4,5,5,4,6,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,4,3,2,4,4,5,5,5,5,5,5,5,3,4,4,4,3,4,4,23,1,5,5,1,1
1,571,37,1,4,4,4,3,3,4,3,2,3,1,2,3,3,1,2,3,3,3,3,2,5,4,3,3,1,5,4,4,1,2,3,4,5,6,6,1,2,5,4,2,5,2,4,4,4,4,4,4,4,3,4,4,2,2,2,2,2,2,1,3,3,4,1,4,4,4,4,4,4,3,3,3,3,2,3,3,51,1,6,7,26,1
0,575,52,1,3,3,3,3,3,4,3,3,2,2,1,2,3,2,4,4,2,4,3,3,6,4,3,1,2,5,1,5,3,1,5,4,6,7,6,2,7,2,6,5,6,5,5,5,5,5,5,5,5,5,5,5,3,5,5,6,3,4,5,4,4,5,3,4,5,4,5,5,5,1,3,1,4,2,5,3,22,1,5,3,62,1
0,367,5,1,4,3,4,3,1,4,4,4,3,3,2,3,3,2,3,4,2,4,2,2,3,3,5,5,5,2,3,3,5,5,3,4,5,5,3,3,5,3,5,5,5,3,3,3,3,4,3,3,3,6,6,5,5,6,5,5,4,4,3,3,5,1,4,4,4,5,5,4,4,3,4,4,4,4,4,4,19,1,3,3,22,1
0,1038,28,1,3,3,3,3,3,3,3,3,3,3,2,2,1,4,2,3,3,2,4,2,6,5,1,2,3,4,2,3,2,2,5,4,5,5,5,2,2,3,5,6,7,5,5,6,5,5,4,5,4,6,6,3,6,6,6,5,4,4,4,2,4,5,3,4,4,5,5,5,4,3,3,3,3,3,3,3,18,1,3,2,16,1
0,807,57,1,4,4,4,4,4,4,2,2,2,2,2,2,4,2,4,3,2,4,2,4,5,6,3,1,3,5,2,6,2,2,5,4,3,3,3,5,2,2,6,7,6,6,6,6,6,7,6,6,6,6,6,5,7,6,5,5,4,4,4,2,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,49,1,6,6,46,1
0,795,25,1,4,4,4,5,5,5,2,2,1,1,1,3,1,5,1,4,4,2,4,1,5,6,1,1,1,7,1,6,1,1,6,4,7,6,7,1,5,5,6,7,7,6,6,6,7,7,7,6,7,7,6,6,6,3,1,1,4,4,3,1,4,5,5,4,5,4,5,5,5,2,3,2,2,2,1,2,67,1,6,7,3,1
0,633,69,1,4,4,4,4,3,4,2,2,2,1,2,2,4,2,4,4,2,4,4,4,5,5,3,1,1,6,5,5,3,3,6,4,7,7,7,1,7,1,7,7,7,6,6,7,7,7,6,6,6,5,6,6,6,6,3,3,5,3,3,2,5,5,4,5,5,5,5,5,5,2,4,2,4,2,2,4,43,1,6,7,17,1
1,509,9,1,4,5,5,4,4,5,1,1,1,1,1,1,3,2,4,4,2,4,4,3,5,2,2,2,2,4,5,3,2,5,6,4,5,6,6,1,1,1,7,7,7,7,7,7,6,7,6,6,7,7,6,7,7,5,3,2,5,4,3,2,5,5,3,4,5,5,5,5,5,2,4,2,3,2,4,4,29,1,4,3,28,1
0,1249,44,1,4,4,4,4,2,4,3,2,2,2,2,2,4,2,3,3,2,4,2,4,5,6,4,2,2,6,5,5,3,3,6,4,6,6,6,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,5,5,4,5,4,3,2,4,3,4,4,4,5,5,5,5,4,4,4,4,4,3,4,32,1,6,4,38,1
0,282,29,1,3,3,4,3,2,4,2,2,3,3,2,2,4,1,4,1,1,5,2,4,7,5,1,1,1,5,2,7,1,1,7,4,7,7,7,2,2,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,4,4,5,2,5,5,4,5,5,5,5,5,5,1,4,2,5,1,3,4,27,1,5,3,7,1
0,403,30,1,4,4,4,4,4,5,1,2,1,2,2,2,2,5,2,4,5,2,5,2,7,6,2,1,1,7,2,1,1,1,6,4,6,6,6,1,1,1,7,7,7,7,7,7,7,7,7,7,7,6,6,5,7,6,6,6,4,4,5,2,5,3,4,3,4,4,3,4,3,2,4,2,2,2,3,4,20,1,3,3,1,1
1,672,103,1,4,4,4,4,4,5,2,2,2,1,1,1,2,5,2,4,4,2,4,2,6,3,2,3,3,5,4,4,4,5,3,4,6,5,6,2,2,2,5,6,6,4,4,5,6,5,6,5,6,3,3,3,3,4,3,4,3,3,2,2,4,3,3,4,4,4,4,4,4,3,4,4,4,3,3,4,54,1,4,5,34,1
0,717,10,1,4,4,4,3,3,5,2,1,3,1,1,2,3,1,4,3,1,4,4,3,2,6,1,1,1,2,2,6,1,1,6,4,7,7,7,1,1,1,6,6,6,6,5,5,6,6,6,6,6,5,6,4,3,1,2,1,5,2,2,3,4,4,3,4,4,4,4,5,5,2,5,2,5,1,1,5,61,2,7,6,56,0
0,997,1,1,4,4,4,4,4,4,1,1,1,1,1,1,2,2,1,4,3,3,2,2,5,4,1,1,1,6,2,4,1,1,5,4,6,6,6,2,1,1,7,6,7,6,7,6,7,7,7,6,7,6,7,5,7,7,5,5,4,4,3,2,5,4,3,5,4,4,5,5,4,3,4,3,4,3,3,4,63,1,7,6,18,1
1,985,45,1,4,4,3,3,3,3,1,1,1,2,1,3,1,2,1,5,3,1,4,1,7,7,1,1,1,7,1,7,1,1,5,4,7,5,5,1,5,5,6,6,6,6,6,6,7,7,7,7,7,6,6,5,7,6,7,5,4,4,4,1,4,4,4,5,4,5,5,5,4,2,2,1,2,3,2,2,60,2,6,4,19,0
0,440,35,1,4,4,4,4,4,4,2,3,1,1,1,3,2,1,4,2,2,2,3,4,7,6,2,1,1,6,4,4,1,1,6,4,7,6,6,1,5,2,7,7,7,7,7,7,7,7,7,7,7,6,5,6,6,6,2,2,5,3,2,2,5,5,3,5,4,5,4,5,5,2,5,1,4,1,1,5,25,1,5,4,20,1
0,445,42,1,2,1,2,2,1,2,5,4,5,4,4,4,4,1,4,3,1,5,1,5,4,4,2,1,4,3,2,3,6,5,2,4,7,7,7,3,2,2,4,7,3,5,5,5,2,2,2,2,2,6,6,6,6,4,4,4,5,5,5,2,5,5,1,5,5,5,5,5,5,1,4,3,1,1,4,3,45,2,4,4,1,0
1,1672,49,1,3,2,2,2,2,3,3,3,4,2,3,2,4,1,4,3,2,4,3,4,6,5,3,2,2,5,4,4,2,2,5,4,5,4,5,3,4,2,5,6,6,4,5,5,5,5,5,5,5,5,6,3,5,3,2,3,4,4,2,3,4,3,3,3,4,4,5,4,4,2,4,2,3,3,3,4,30,2,5,3,12,0
1,923,68,1,4,4,3,3,3,4,2,1,1,2,1,2,4,1,4,3,1,4,2,3,6,6,3,1,2,6,4,4,2,2,3,4,6,5,5,3,4,3,6,6,6,6,6,6,6,7,6,6,6,5,6,6,6,5,5,4,4,3,5,2,4,5,3,5,4,5,5,5,4,4,5,5,4,4,2,4,60,1,7,6,51,1
1,808,46,1,4,4,4,4,4,4,2,2,2,1,2,1,1,4,1,4,4,2,3,1,6,6,1,1,2,6,3,5,1,1,6,4,5,5,5,3,4,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,1,5,5,4,5,5,4,5,5,5,4,4,4,4,3,2,4,36,1,6,6,1,1
1,592,6,1,2,2,2,2,1,1,4,4,4,5,4,3,4,1,4,3,1,2,1,4,2,3,3,5,5,4,1,4,5,1,5,4,6,4,5,5,4,1,5,6,5,5,1,2,5,5,5,5,5,1,1,1,1,5,5,5,4,5,1,3,5,5,1,5,5,5,5,5,5,3,5,4,5,3,2,4,47,1,3,5,25,1
1,423,3,1,4,3,3,4,3,3,2,2,2,2,3,3,2,2,3,3,1,3,3,4,6,5,5,5,1,5,3,4,2,3,6,4,5,5,5,3,3,2,6,6,6,5,5,5,6,5,5,6,5,6,6,5,5,5,5,5,5,4,3,2,4,2,4,5,4,5,5,5,5,4,4,4,4,2,4,4,18,1,3,2,23,1
1,338,70,1,4,4,4,4,4,4,3,3,3,3,2,3,3,4,3,3,3,4,4,3,6,5,2,1,4,6,5,5,2,3,6,4,5,6,5,3,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,3,5,4,3,2,4,5,4,5,5,5,5,5,5,4,4,4,4,3,3,4,28,1,5,4,25,1
1,6301,36,1,4,4,4,4,4,4,3,3,3,2,3,2,4,2,4,4,2,3,3,4,5,5,3,4,4,6,4,4,4,5,5,4,6,6,6,3,6,3,6,4,5,6,5,6,4,5,4,4,5,7,7,6,7,5,5,2,5,4,4,2,4,5,5,5,4,4,4,5,5,4,3,4,4,4,4,3,27,1,5,3,28,1
0,365,4,1,4,4,4,4,3,4,2,2,2,2,2,1,2,3,2,5,4,2,4,2,7,2,5,1,5,2,2,2,2,5,7,4,6,6,6,2,2,1,6,6,6,6,6,6,6,6,6,6,6,3,6,3,3,6,6,6,4,4,5,3,5,5,4,5,5,4,5,4,5,1,4,4,3,4,2,5,26,1,5,3,23,1
1,503,39,1,4,4,4,3,3,5,2,2,1,1,1,1,3,1,4,2,1,3,3,4,5,4,1,2,1,5,2,5,2,3,5,4,6,6,6,1,1,1,6,6,6,4,5,6,4,4,4,4,4,6,6,6,6,7,6,4,5,5,3,1,5,5,4,5,4,4,5,5,5,4,2,4,4,1,2,2,20,4,3,3,14,NA
1,340,78,1,5,4,5,4,3,5,1,1,2,2,2,2,4,4,4,3,2,5,3,4,6,5,4,2,4,4,5,4,3,4,3,4,6,7,7,2,2,3,6,6,7,4,4,4,6,6,4,5,5,7,7,6,5,3,3,2,3,4,2,3,4,2,4,4,5,4,3,4,4,2,3,2,3,2,2,4,23,1,5,5,13,1
0,283,77,1,4,5,4,5,4,5,1,2,2,2,2,2,2,4,2,4,4,4,4,2,6,6,2,2,1,6,6,7,2,1,7,4,7,7,7,1,1,2,6,6,6,6,4,5,5,5,6,7,6,3,7,3,5,7,7,6,4,4,2,1,5,2,4,5,4,4,5,5,4,3,4,4,4,2,2,4,28,1,5,4,40,1
1,404,16,1,3,3,3,4,3,3,2,3,3,1,2,3,3,2,3,2,2,3,2,4,4,5,2,2,1,5,4,5,1,2,5,4,5,4,6,2,3,1,5,4,4,6,5,5,6,6,5,6,5,4,6,3,5,3,2,2,4,3,4,2,3,3,4,4,3,4,5,3,3,3,3,4,4,3,2,3,36,2,3,7,54,0
0,817,84,1,4,4,4,4,3,4,2,1,3,3,1,2,2,4,2,4,4,2,4,2,6,4,3,2,3,5,3,4,1,1,5,4,6,5,6,3,1,1,5,3,5,3,3,3,4,5,5,3,3,5,5,5,5,3,3,2,2,2,2,3,3,4,3,3,5,4,4,5,5,4,4,2,4,2,3,4,25,1,5,4,50,1
0,572,74,1,4,4,4,4,4,4,2,2,2,1,2,3,3,3,2,2,3,4,3,2,6,6,3,2,2,5,3,4,4,5,3,4,6,7,6,2,1,1,6,6,6,6,3,6,4,5,4,5,5,3,5,3,3,5,3,3,4,5,5,1,4,3,2,5,5,5,5,5,5,4,4,3,4,4,4,3,26,1,5,4,34,1
1,1142,83,1,4,4,4,4,4,4,2,3,2,2,2,1,3,2,4,3,2,3,2,3,6,5,2,2,2,5,4,5,1,2,6,4,5,5,5,2,3,3,6,5,6,6,6,5,6,6,5,5,5,6,6,6,3,5,4,4,4,3,4,2,3,4,4,4,3,4,4,4,4,3,4,4,4,3,2,4,23,2,3,2,38,0
0,284,86,1,3,3,3,3,4,3,3,4,2,3,4,3,4,1,5,2,2,5,2,4,5,4,4,1,4,4,5,5,6,6,3,4,3,4,3,5,3,6,6,6,6,4,4,5,4,6,5,4,5,6,5,7,6,5,5,4,4,3,3,2,4,4,3,5,3,5,4,5,5,4,4,3,3,2,4,2,35,1,3,7,4,1
1,969,94,1,3,2,2,2,2,3,3,4,3,4,4,4,3,2,3,2,2,4,2,4,7,6,1,2,1,6,2,6,2,2,7,4,3,3,5,4,6,4,6,7,6,6,6,7,6,7,6,6,6,6,6,6,7,4,4,4,4,3,3,2,5,3,5,4,4,4,4,4,4,3,3,4,3,3,1,3,0,NA,NA,7,52,NA
1,481,85,1,3,4,4,3,3,4,1,2,2,2,2,1,1,4,2,4,4,2,4,2,4,6,4,4,3,6,5,6,2,3,5,4,5,6,6,2,3,2,6,7,6,6,6,6,6,5,6,6,6,6,5,6,6,7,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,3,2,4,4,3,69,2,6,3,8,0
0,485,80,1,4,4,4,3,3,4,2,1,2,1,2,1,2,3,2,4,4,2,4,2,7,7,2,2,1,7,1,7,1,1,7,4,6,6,5,1,1,1,7,7,7,7,7,7,6,6,6,6,6,7,7,7,7,5,5,5,5,4,3,1,5,4,5,5,5,4,5,5,5,3,4,3,4,3,2,4,25,1,4,3,19,1
1,746,45,1,4,4,4,3,3,4,1,1,2,2,1,1,1,2,1,1,2,2,4,1,6,6,1,1,1,7,1,6,1,1,6,4,6,7,6,1,3,2,7,7,7,7,7,7,6,7,6,7,6,6,7,5,6,6,6,5,5,5,4,1,4,4,4,5,5,5,5,5,5,1,2,2,2,2,2,2,60,2,6,4,21,0
0,631,42,1,1,1,1,1,1,1,5,5,4,5,5,5,5,4,2,2,2,3,5,5,3,2,5,7,3,3,4,4,6,6,1,4,6,5,7,4,4,6,2,3,7,2,3,2,7,7,7,7,7,4,4,4,4,2,2,2,5,5,5,2,5,5,1,5,5,5,5,5,5,3,3,3,3,3,3,3,45,3,4,4,1,NA
1,950,88,1,5,4,5,4,4,4,1,1,2,2,1,1,2,5,2,5,5,1,4,3,6,6,1,1,5,7,7,7,1,1,6,4,7,5,6,1,4,1,7,6,7,5,4,4,6,6,6,6,6,7,7,7,7,7,7,7,5,5,4,1,5,5,4,4,4,4,5,5,3,4,2,4,4,4,2,2,31,1,5,6,47,1
1,719,24,1,4,4,4,3,3,3,3,3,4,4,3,3,4,2,4,3,2,3,2,3,5,5,3,3,3,5,3,4,3,4,5,4,5,5,3,5,5,3,5,5,5,5,5,5,5,4,5,5,5,2,5,2,3,5,3,3,4,3,3,3,5,5,3,5,4,4,5,4,4,2,3,2,3,2,4,4,52,1,6,6,13,1
1,33459,90,1,3,3,3,3,1,3,3,2,3,2,1,2,3,3,4,3,3,3,4,4,5,4,4,2,2,6,3,6,2,1,6,4,5,5,5,3,3,4,6,5,5,5,5,7,7,7,6,5,6,5,6,4,6,5,3,3,4,3,4,2,4,2,4,2,4,4,3,3,4,4,4,3,4,3,3,4,21,2,3,1,48,0
0,984,40,1,3,3,3,3,3,3,3,2,3,3,3,1,3,3,2,3,3,2,2,2,5,5,3,2,3,5,5,5,2,3,5,4,5,5,4,3,5,4,5,5,5,5,5,5,5,5,5,5,5,6,5,6,7,6,6,7,4,4,3,2,4,5,3,4,3,3,4,4,4,4,4,4,4,3,4,4,42,1,6,3,49,1
1,4340,59,1,4,4,4,4,4,3,1,2,3,3,1,1,4,2,4,3,2,3,3,3,6,5,1,1,2,6,5,6,1,1,7,4,6,6,6,1,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,6,7,5,5,5,5,4,3,2,5,5,4,5,5,5,5,5,5,4,4,2,4,4,2,4,53,1,4,5,46,1
0,451,18,1,5,5,5,5,5,5,1,1,1,1,1,1,2,3,2,5,4,2,5,3,7,7,1,1,1,7,4,2,2,1,7,4,7,6,6,1,5,3,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,7,7,5,5,3,2,5,5,5,5,5,5,5,5,5,3,5,4,4,3,1,5,35,2,6,7,20,0
0,703,73,1,4,4,4,4,4,4,2,2,3,2,2,2,2,3,3,3,4,3,2,2,5,4,4,3,3,5,4,5,3,3,4,4,4,5,5,5,3,3,5,5,5,5,5,5,4,4,5,4,4,5,5,5,5,5,5,5,4,4,5,2,5,5,4,4,4,4,4,4,4,3,3,4,4,4,4,3,31,1,4,2,50,1
1,555,11,1,4,4,3,4,3,4,3,3,3,2,2,4,5,1,5,1,1,5,1,5,5,5,5,2,4,6,5,5,4,1,2,4,6,6,6,1,2,2,5,5,6,4,4,5,4,4,4,5,5,6,6,7,5,5,3,6,4,2,2,3,4,4,3,3,4,4,4,4,4,2,2,3,3,3,2,3,54,1,6,6,50,1
0,351,82,1,3,4,3,4,4,3,2,3,2,1,1,2,4,2,4,2,2,5,2,5,5,3,1,1,1,4,1,4,2,3,3,4,7,6,6,1,1,2,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,6,2,2,3,2,4,4,4,3,2,4,5,5,4,5,4,1,2,1,2,2,2,2,22,1,3,2,22,1
1,507,96,1,4,4,4,3,3,4,1,1,3,1,1,1,4,2,4,4,1,4,2,4,6,4,1,1,1,5,1,5,1,1,6,4,5,5,4,3,3,1,4,4,5,4,4,4,4,5,4,5,4,5,6,7,5,1,1,1,3,3,3,2,3,4,3,3,3,4,3,3,3,1,3,3,4,1,3,4,55,1,6,5,34,1
1,568,54,1,4,4,4,3,4,4,4,4,3,3,3,3,2,1,2,3,2,4,4,2,6,5,2,2,3,6,5,5,4,5,6,4,6,5,5,2,4,5,7,6,7,6,6,6,6,7,6,6,6,5,4,6,6,6,4,5,5,4,5,4,4,4,4,4,3,5,5,5,4,4,4,3,4,3,2,4,25,1,6,4,30,1
0,825,92,1,5,5,5,4,5,5,2,1,3,1,3,1,3,2,4,2,1,4,2,4,5,5,3,3,3,5,4,5,2,2,5,4,3,5,5,3,3,1,5,5,5,5,5,5,5,5,5,5,5,2,3,2,2,3,2,3,4,2,3,3,4,3,2,4,5,5,4,5,5,4,4,4,4,2,4,4,36,1,3,3,28,1
