"bed","dauer.t1","case","ok.t1","swb1.t1","swb2.t1","swb3.t1","swb4.t1","swb5.t1","swb6.t1","swb7.t1","swb8.t1","swb9.t1","swb10.t1","swb11.t1","swb12.t1","t1.t1","t2.t1","t3.t1","t4.t1","t5.t1","t6.t1","t7.t1","t8.t1","gbk1.t1","gbk2.t1","gbk3.t1","gbk4.t1","gbk5.t1","gbk6.t1","gbk8.t1","gbk9.t1","gbk10.t1","gbk11.t1","gbk12.t1","check.t1","gbk13.t1","gbk14.t1","gbk15.t1","gbk16.t1","gbk17.t1","gbk18.t1","sv1.t1","sv2.t1","sv3.t1","sv4.t1","sv5.t1","sv6.t1","sv7.t1","sv8.t1","sv9.t1","sv10.t1","sv11.t1","sv12.t1","sv13.t1","sv14.t1","sv15.t1","sv16.t1","sv17.t1","sv18.t1","so1.t1","so2.t1","so3.t1","so4.t1","so5.t1","so6.t1","so7.t1","so8.t1","so9.t1","so10.t1","so11.t1","so12.t1","so13.t1","sr1.t1","sr2.t1","sr3.t1","sr4.t1","sr5.t1","sr6.t1","sr7.t1","age.t1","gender.t1","edu.t1","income.t1","pol_orient.t1","gender.t1.d"
0,728,1,1,4,4,4,4,4,4,2,2,3,2,1,1,2,3,1,2,3,2,2,1,5,4,1,1,1,6,1,5,1,1,2,4,6,6,6,1,2,1,7,7,7,7,7,7,7,7,7,7,7,5,5,5,6,6,2,2,4,3,3,2,4,4,3,4,4,4,5,4,4,3,3,3,3,3,2,3,63,1,7,6,24,1
1,1034,2,1,2,3,3,2,1,3,3,3,4,4,3,1,4,1,4,2,1,5,3,4,2,1,1,1,1,5,5,5,5,5,4,7,7,3,5,7,2,2,7,7,7,7,5,5,4,4,4,4,4,6,6,5,7,5,6,2,4,3,5,2,5,1,3,3,3,5,3,4,4,3,5,4,3,3,5,5,24,1,3,2,37,1
1,559,3,1,4,4,4,4,3,3,2,2,3,2,1,3,3,2,4,5,2,5,4,4,2,5,5,5,5,5,5,6,2,2,5,4,4,5,5,2,5,2,5,5,5,3,2,6,6,6,2,6,6,6,6,6,6,6,2,6,4,3,4,3,2,2,4,5,4,4,4,5,5,5,4,4,5,4,5,4,18,1,3,2,31,1
0,662,4,1,4,4,3,3,4,3,3,3,3,1,2,1,4,3,4,2,2,4,2,4,6,4,5,1,2,2,1,1,5,5,5,4,6,6,6,3,2,1,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,6,7,6,4,5,5,2,5,5,4,5,5,5,5,5,5,2,4,2,2,2,4,2,25,1,5,3,25,1
0,885,5,1,3,3,2,2,2,2,3,3,4,4,2,3,3,3,3,4,3,4,4,4,6,6,2,3,1,5,2,4,2,1,3,4,3,3,5,5,5,3,5,3,5,2,2,3,4,5,3,3,2,7,6,6,5,2,2,4,3,3,2,3,5,2,3,4,5,4,5,4,4,2,4,2,2,2,2,2,18,1,3,3,27,1
1,730,6,1,1,1,1,1,1,1,5,5,5,5,5,4,2,3,1,4,2,1,3,1,7,4,1,1,1,5,1,4,1,1,6,4,6,6,4,3,7,6,5,6,6,5,5,5,3,5,5,2,5,1,5,1,1,5,5,6,4,4,1,2,4,5,1,5,5,5,5,5,5,3,4,1,4,3,1,4,47,1,3,6,1,1
1,393,7,1,2,2,3,2,2,3,4,4,3,4,4,4,4,2,3,4,2,5,2,5,3,5,3,2,3,5,4,5,5,5,5,4,6,5,4,6,2,2,6,6,6,6,6,6,6,5,5,5,5,6,6,5,4,5,2,2,5,4,3,1,5,5,4,5,5,5,5,5,5,3,4,2,2,3,5,4,23,1,5,4,5,1
1,532,8,1,4,4,4,3,5,3,2,2,3,3,1,1,3,5,4,4,2,5,3,5,5,5,1,3,3,7,1,5,7,1,7,4,7,7,7,1,5,5,7,7,7,7,7,7,7,7,6,7,7,6,6,6,6,6,1,1,4,1,2,2,3,4,5,5,5,5,3,4,3,4,4,4,4,2,4,2,50,1,4,3,52,1
1,724,9,1,4,3,3,3,2,3,2,2,2,2,1,2,4,1,5,2,1,5,1,4,5,7,2,1,2,7,4,4,1,1,6,4,5,2,6,2,5,5,7,5,7,7,7,7,6,7,5,5,6,7,6,7,7,2,2,2,4,4,4,2,4,5,3,5,3,4,4,5,5,2,4,2,3,2,2,4,29,1,4,3,32,1
0,1646,10,1,4,4,3,3,4,4,2,2,2,1,1,1,4,1,3,1,1,4,2,3,6,6,1,1,1,6,2,6,1,1,6,4,7,7,7,1,1,2,5,5,5,5,5,5,5,6,6,5,5,6,6,6,3,2,2,2,5,2,5,2,5,5,3,5,4,5,5,5,5,2,5,2,5,2,1,4,61,2,7,6,60,0
1,989,11,1,4,3,4,4,3,4,1,2,2,3,3,4,5,1,4,1,1,5,1,5,5,4,4,3,4,5,4,4,1,1,5,4,5,5,5,1,3,1,5,2,3,3,6,5,5,3,2,5,2,2,6,2,2,5,2,2,4,1,2,4,4,3,3,4,4,3,4,4,4,2,3,1,1,2,4,1,54,1,6,4,49,1
1,729,12,1,5,5,5,5,5,5,1,1,1,2,1,1,2,5,1,4,5,4,4,1,7,7,1,1,1,6,1,4,1,1,5,4,7,7,7,1,1,1,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,6,4,2,3,2,5,5,4,5,5,5,5,5,5,4,4,3,4,3,2,4,43,1,6,5,24,1
0,1239,13,1,5,5,5,4,4,5,1,1,1,1,1,1,1,5,1,5,5,1,5,1,6,7,2,1,1,5,1,4,1,1,5,4,7,7,6,2,2,1,7,7,7,7,7,7,5,6,6,6,5,5,5,3,6,6,6,6,4,4,2,3,4,3,3,5,5,5,5,5,5,2,4,2,4,4,3,4,34,1,5,4,8,1
0,676,14,1,5,5,4,5,3,4,1,1,1,2,1,2,2,5,1,5,5,2,4,1,6,5,1,1,1,7,4,7,1,3,5,4,7,6,6,3,1,1,7,7,7,5,6,7,7,7,7,7,7,4,6,5,5,5,3,5,4,4,5,2,5,5,3,5,5,5,5,5,5,3,3,2,4,3,2,4,25,1,5,3,36,1
1,385,15,1,4,4,4,4,4,3,3,3,2,1,4,2,3,4,3,2,2,4,2,3,6,6,5,2,2,5,5,6,2,2,5,4,7,7,7,2,2,2,7,7,7,7,7,7,7,7,7,7,7,6,6,6,5,6,5,2,4,4,3,3,4,5,3,5,4,5,5,4,4,4,4,4,4,3,5,4,30,1,6,4,19,1
1,618,16,1,3,3,3,3,3,3,3,3,4,2,3,3,4,2,4,2,2,3,2,3,5,4,2,1,2,5,3,6,2,2,6,4,6,6,6,2,2,1,5,5,4,6,6,4,6,6,5,5,6,5,6,3,6,4,5,2,4,3,4,2,4,3,4,3,4,4,4,3,3,3,2,2,4,3,3,4,36,2,3,6,53,0
0,264,17,1,4,4,4,5,4,5,2,2,2,2,2,1,4,3,3,4,1,5,3,3,7,5,1,1,1,6,5,5,3,3,7,4,6,6,7,1,1,1,6,6,5,6,7,7,7,7,2,5,6,6,7,6,7,3,7,5,4,5,4,2,5,5,5,5,5,5,5,5,5,1,4,3,4,1,1,4,26,1,6,4,8,1
0,531,18,1,5,5,5,5,5,5,1,1,1,1,1,3,3,2,3,5,3,2,4,3,7,7,1,1,1,7,1,7,1,1,7,4,7,7,6,1,2,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,4,2,5,5,5,5,5,5,5,5,5,3,4,3,4,3,1,4,37,2,6,7,15,0
0,1287,19,1,5,5,5,5,5,5,3,2,1,1,1,1,2,3,2,4,3,4,3,2,6,4,1,2,4,5,4,5,2,2,3,4,5,5,5,2,5,5,5,4,5,4,4,4,4,3,3,3,4,3,5,4,2,2,2,2,2,2,1,4,2,2,2,2,3,3,4,4,4,2,2,2,3,2,3,2,0,1,6,4,25,1
0,592,20,1,4,4,4,4,3,3,2,3,2,2,1,3,2,4,2,4,4,2,4,2,7,5,2,4,3,5,3,4,3,1,2,4,6,5,5,3,3,3,5,5,5,5,4,6,5,6,5,6,5,2,2,2,2,5,3,2,4,4,3,2,4,5,2,4,2,3,4,4,4,3,4,3,4,3,2,4,26,1,5,6,27,1
1,654,21,1,4,4,4,4,3,4,2,1,2,1,1,2,3,2,4,3,3,2,3,3,5,4,1,1,1,6,1,4,1,1,5,4,7,7,6,1,1,3,6,6,6,5,2,4,5,5,5,5,5,6,6,5,5,5,2,5,3,2,3,3,4,5,2,5,4,5,5,5,5,2,2,3,3,3,3,2,52,2,3,7,52,0
1,1120,22,1,4,4,5,3,3,4,2,2,2,2,1,2,2,4,1,4,3,1,5,2,7,6,1,6,1,2,2,6,1,1,6,4,7,6,6,1,1,2,5,6,6,6,7,6,7,7,6,6,6,5,6,5,6,2,2,4,4,4,3,2,3,5,4,5,4,4,4,4,3,2,2,2,2,2,4,2,59,2,2,4,25,0
1,1800,23,1,3,3,2,3,3,3,4,4,4,3,4,2,2,4,3,2,3,2,2,2,2,5,5,3,3,5,5,4,5,2,2,4,3,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,5,1,1,4,4,2,2,5,3,3,4,4,4,5,4,5,4,4,4,4,4,3,4,23,1,5,3,34,1
1,1435,24,1,4,4,4,3,4,3,3,3,3,3,3,1,3,3,2,2,3,5,3,2,5,5,5,3,3,5,5,4,5,5,3,4,5,5,5,5,5,3,5,5,5,5,5,5,5,4,5,5,5,3,5,3,2,3,2,2,3,4,4,3,5,4,3,5,5,4,5,4,4,2,4,3,4,3,4,4,52,1,6,5,10,1
0,910,25,1,4,4,4,4,3,4,1,3,1,1,1,2,1,4,1,4,4,1,4,1,7,7,1,1,1,7,1,6,1,1,6,4,6,5,7,1,5,3,6,7,6,6,6,7,6,7,7,6,7,7,6,6,7,2,5,2,5,4,2,1,5,4,3,5,5,5,5,5,5,1,2,2,3,1,1,2,67,1,4,7,1,1
0,818,26,1,4,5,3,4,3,4,1,1,1,2,3,1,2,3,2,3,2,3,4,1,6,4,1,1,1,7,4,4,1,2,5,4,5,6,6,1,1,3,5,6,6,4,5,5,5,5,4,4,4,6,5,6,2,6,5,4,5,3,4,2,5,4,5,4,5,5,5,5,5,2,4,3,4,2,4,4,20,2,3,3,13,0
1,1001,27,1,3,4,4,3,3,3,2,2,3,2,2,1,3,5,3,5,5,1,5,1,6,5,3,1,1,5,4,4,5,5,6,4,6,6,6,5,1,5,4,5,6,6,5,4,5,5,5,5,6,6,5,6,6,5,5,2,3,3,4,3,4,4,3,5,3,4,4,5,4,3,3,3,4,3,5,4,23,1,5,4,20,1
0,6417,28,1,3,3,2,3,3,3,2,2,4,1,2,3,1,4,2,4,5,1,4,2,6,5,3,2,2,5,2,4,5,4,5,4,3,3,5,5,3,1,5,5,7,5,7,7,5,5,5,5,5,2,2,2,6,4,5,6,3,3,4,1,5,3,4,3,3,4,5,5,4,1,2,2,4,1,2,1,18,1,3,2,14,1
0,378,29,1,4,4,4,3,3,4,2,3,3,2,3,1,5,1,5,3,2,5,2,5,6,2,1,1,2,2,1,2,5,1,6,4,7,7,7,5,1,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,3,5,5,4,5,5,5,5,5,5,2,5,2,5,3,1,5,27,1,5,3,6,1
0,599,30,1,4,4,3,4,3,3,2,2,2,3,2,1,1,5,1,4,5,2,5,2,7,4,1,1,1,6,4,5,2,2,6,4,5,3,4,3,1,3,7,7,7,7,7,7,7,7,7,7,7,2,3,2,2,6,6,6,4,4,5,1,4,2,4,3,3,5,4,3,4,2,2,2,1,2,4,2,20,1,3,3,6,1
1,640,31,1,4,4,3,3,2,3,3,3,4,4,1,3,4,2,3,3,2,2,2,4,7,5,1,3,2,5,6,5,2,3,5,4,7,5,5,5,7,7,7,7,7,5,7,7,5,6,5,5,5,3,2,2,4,3,6,5,5,5,4,2,5,3,4,4,5,5,5,5,5,3,5,4,4,4,2,4,26,1,5,3,3,1
1,749,32,1,4,4,4,3,3,4,1,3,2,2,1,1,4,3,2,2,2,2,2,3,6,4,1,1,1,6,4,7,1,1,7,4,6,6,6,1,1,5,6,7,7,7,7,7,6,7,5,6,5,7,7,7,7,4,4,4,4,4,4,2,5,5,4,5,4,4,5,5,5,3,5,3,5,3,1,5,64,2,6,7,50,0
1,915,33,1,3,2,2,2,1,2,3,4,3,3,3,1,2,3,2,2,2,2,3,4,3,3,5,1,3,3,2,3,5,2,1,4,4,4,3,5,3,3,5,5,5,7,7,7,7,7,7,7,7,6,6,6,7,6,5,5,5,4,3,2,4,5,3,4,5,5,4,5,4,4,2,2,3,4,4,2,24,2,3,4,26,0
0,552,34,1,3,3,3,3,3,3,3,3,3,3,2,4,3,3,4,2,3,4,3,5,6,3,5,3,4,5,3,5,4,5,3,4,6,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,3,4,3,4,3,4,3,4,4,4,4,4,3,4,3,4,2,3,4,2,32,1,2,3,37,1
0,1047,35,1,4,4,4,5,4,5,3,2,2,1,1,1,2,2,3,4,2,2,4,4,7,5,4,1,1,6,4,4,1,1,6,4,5,3,3,1,6,2,7,7,7,7,7,7,5,5,5,5,5,7,7,6,7,6,2,2,5,3,4,1,5,5,5,5,4,5,5,5,5,2,4,2,5,3,1,4,25,1,5,4,24,1
1,502,36,1,4,4,4,4,4,5,3,3,3,2,2,3,2,4,2,4,4,3,5,2,5,6,1,2,3,5,3,6,1,3,6,4,6,5,6,2,3,4,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,2,3,3,4,5,2,2,5,4,4,5,4,5,5,5,5,3,4,4,4,4,5,3,27,1,5,2,24,1
1,901,37,1,4,4,4,3,4,5,2,2,2,2,2,1,2,4,2,4,3,1,3,2,7,5,1,1,2,6,2,4,2,1,3,4,7,6,7,1,2,1,6,6,5,6,6,6,5,4,5,5,5,4,6,4,2,2,2,2,3,2,1,3,4,4,1,4,5,5,4,5,5,2,2,3,3,2,3,2,51,1,6,7,25,1
0,1090,38,1,5,4,5,5,5,5,1,1,2,1,1,2,2,2,3,4,2,2,4,2,7,6,1,1,1,5,5,6,2,1,6,4,7,6,7,1,2,2,7,7,7,7,7,5,6,6,6,6,5,3,5,2,3,6,5,5,5,3,5,2,5,5,4,5,5,4,5,4,4,2,4,3,4,2,2,4,22,1,3,3,32,1
1,622,39,1,3,4,3,3,3,4,2,2,2,2,1,1,5,1,4,1,1,5,1,5,6,4,4,2,2,6,4,4,2,3,5,4,6,5,6,3,3,1,5,5,7,5,5,5,5,5,5,5,5,7,7,7,7,7,6,5,4,5,3,1,4,5,4,5,3,4,5,5,5,1,2,2,2,1,4,1,20,1,3,3,20,1
0,1579,40,1,2,2,2,2,2,2,4,4,4,4,3,3,4,3,3,2,2,3,2,4,5,5,3,2,3,5,2,5,3,3,6,4,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,4,5,3,2,4,5,3,4,5,3,5,4,4,3,4,4,4,2,2,4,42,1,6,3,49,1
1,611,41,1,3,4,3,3,2,4,3,2,1,3,4,3,2,4,2,4,3,2,4,2,5,5,2,2,3,5,2,5,2,2,4,4,5,4,5,5,5,2,6,6,6,4,5,6,4,4,4,4,4,6,7,5,5,4,5,5,3,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,3,2,3,35,1,4,2,15,1
0,590,42,1,1,3,1,1,3,1,5,5,4,4,3,3,3,2,3,4,2,3,3,3,1,1,7,7,3,1,4,1,5,6,1,4,7,7,7,1,1,1,7,3,3,7,7,3,4,4,1,7,2,1,1,1,7,1,1,1,5,3,5,1,5,5,1,5,5,5,5,5,5,3,1,5,5,5,5,5,44,2,4,4,1,0
0,19527,43,1,3,3,3,3,2,3,1,2,2,4,2,1,2,1,3,2,3,5,2,1,5,2,1,1,2,3,1,4,4,3,3,4,5,6,6,3,3,5,6,6,6,2,3,3,6,6,6,6,6,5,5,3,2,2,1,1,3,2,2,4,4,2,2,5,5,5,5,4,4,1,2,1,2,1,4,2,35,1,6,5,37,1
0,9211,44,1,4,5,4,5,5,5,2,2,1,1,2,2,2,4,1,4,3,4,4,3,6,7,2,1,1,6,5,6,1,1,5,4,6,6,6,1,1,2,6,6,6,6,6,6,6,6,6,6,6,5,6,5,4,5,5,6,4,3,2,4,4,3,4,4,4,5,4,4,4,3,4,4,4,4,3,4,32,1,6,6,42,1
1,1249,45,1,5,5,5,4,4,4,1,2,1,2,1,1,1,5,1,5,5,1,4,1,7,7,1,1,1,7,1,6,1,1,5,4,7,7,6,1,1,1,7,7,7,7,7,7,7,7,7,7,7,6,7,5,7,6,7,5,5,4,5,1,4,4,3,5,5,5,5,5,5,2,2,3,4,4,2,2,61,2,6,5,28,0
1,734,46,1,3,4,3,3,3,4,3,3,2,3,2,1,2,4,2,4,4,4,3,2,6,6,1,1,1,6,1,6,1,1,7,4,5,5,6,3,3,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,5,5,5,1,5,5,5,5,5,4,5,5,5,3,3,4,4,3,2,3,36,1,6,6,1,1
0,572,47,1,4,4,4,3,3,4,3,3,3,3,3,2,2,4,2,4,4,2,4,2,7,2,1,3,2,6,2,2,1,1,5,4,5,6,5,5,2,3,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,6,6,5,3,2,3,2,3,3,4,4,4,4,4,4,3,3,4,2,4,2,2,3,24,1,6,5,21,1
0,745,48,1,4,4,4,3,3,4,2,1,3,1,1,3,5,1,1,1,1,1,1,4,1,3,1,1,1,5,1,1,1,1,7,4,5,5,6,3,5,1,1,1,1,1,1,1,3,3,3,3,3,3,1,3,1,5,5,5,4,2,2,1,1,1,3,2,5,4,5,5,2,4,4,4,4,3,2,2,54,2,5,5,50,0
1,2248,49,1,4,4,4,3,3,4,3,3,3,2,1,2,2,4,2,5,4,3,4,2,6,2,2,1,1,6,1,4,2,2,5,4,6,5,6,5,2,2,5,5,5,5,3,4,6,6,5,5,5,5,5,4,4,3,2,4,3,2,1,3,4,4,4,4,4,4,5,4,5,2,4,2,4,3,4,4,30,2,5,3,7,0
0,423,50,1,4,4,4,4,3,4,2,2,2,1,2,2,2,3,2,3,3,3,3,2,6,6,2,1,2,7,6,6,2,1,5,4,7,7,7,2,2,3,7,7,7,7,7,7,7,7,7,7,7,6,7,6,6,5,5,5,4,3,5,5,4,4,3,5,5,5,5,5,5,4,4,4,3,4,4,4,39,1,7,6,14,1
0,650,51,1,4,4,3,4,4,4,3,3,3,3,2,2,3,4,2,4,3,3,3,3,5,5,5,5,3,5,4,5,3,2,6,4,6,5,5,3,3,5,6,6,5,4,5,5,5,5,5,5,5,5,5,5,5,3,5,3,4,5,3,2,4,4,4,5,5,5,5,5,5,4,2,2,2,2,3,2,25,1,5,3,28,1
0,1485,52,1,5,5,5,5,5,5,1,1,1,2,1,1,1,5,1,5,5,2,5,1,6,3,1,5,5,3,1,4,4,1,6,4,7,7,7,1,2,1,5,6,5,4,3,6,5,5,3,6,5,3,3,3,3,2,5,6,3,4,4,3,3,4,3,4,4,5,5,4,4,2,1,1,2,1,3,2,0,1,5,3,50,1
0,698,53,1,3,3,2,2,3,3,3,4,3,4,4,3,2,3,2,4,4,1,5,1,5,1,2,2,1,5,1,2,1,3,3,4,5,5,6,5,1,5,7,6,6,6,6,6,6,6,6,6,6,6,5,4,5,2,3,3,3,2,5,4,4,4,4,2,2,4,4,4,4,4,2,4,2,4,4,4,28,1,4,4,23,1
1,1679,54,1,4,3,3,3,2,3,4,4,4,3,2,3,3,2,3,2,2,3,3,1,6,6,1,2,3,6,4,6,1,1,6,4,6,6,6,2,6,7,7,7,7,5,5,7,7,7,7,7,7,5,6,5,6,5,2,2,4,3,4,2,5,3,4,3,5,5,5,5,5,1,2,1,3,1,2,2,25,1,6,4,17,1
1,1086,55,1,2,3,3,2,1,2,3,2,1,4,1,1,3,3,4,3,1,3,3,2,5,4,5,2,1,4,2,4,1,1,6,4,2,2,3,6,4,1,7,7,7,7,7,7,5,5,6,5,6,6,7,4,6,4,2,5,5,5,1,3,5,1,4,3,5,5,5,5,5,1,2,4,2,1,4,4,37,2,6,5,35,0
1,1343,56,1,3,4,4,3,2,4,2,2,3,3,3,2,3,3,1,4,4,4,2,2,5,3,2,1,2,4,2,5,1,1,6,4,2,5,3,3,5,2,6,6,6,7,6,6,6,6,4,4,6,2,6,5,5,3,2,2,5,4,4,2,4,4,4,4,5,5,5,5,5,4,4,3,4,2,4,4,25,2,5,4,17,0
0,928,57,1,4,4,4,4,3,4,2,2,2,2,1,1,3,3,3,4,3,4,3,3,5,5,2,1,2,5,2,6,2,1,5,4,5,6,5,2,2,3,6,6,7,6,7,6,6,7,5,6,6,6,6,6,6,6,6,5,3,4,4,1,4,5,4,4,4,4,4,4,4,2,3,1,3,1,3,3,49,1,6,6,34,1
1,1855,58,1,2,4,3,4,2,2,4,4,1,1,3,4,2,1,1,2,1,4,2,2,2,5,1,2,1,6,2,5,3,4,3,4,6,7,5,3,1,1,5,4,5,4,1,2,3,5,1,2,2,7,6,5,6,5,1,1,3,3,4,3,4,5,4,5,3,5,5,5,3,2,2,1,1,1,2,3,25,1,5,2,32,1
1,3195,59,1,4,4,4,3,3,4,1,2,1,2,1,2,3,3,2,3,2,2,3,2,6,7,2,1,6,7,4,6,1,1,6,4,7,6,7,1,5,2,7,7,7,7,7,7,7,7,7,7,7,4,6,4,6,7,7,6,5,5,3,2,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,5,53,1,4,5,27,1
1,489,60,1,3,3,3,3,3,2,2,3,4,1,3,2,2,4,1,1,3,2,4,2,3,5,2,5,3,5,1,5,1,1,6,4,6,6,5,1,3,2,7,7,7,6,7,7,7,7,7,6,7,7,7,7,7,7,7,6,4,4,3,1,5,5,3,5,5,5,5,5,5,1,4,3,4,1,1,5,31,1,6,6,11,1
1,770,61,1,4,5,4,4,4,4,1,1,1,1,1,2,1,4,2,4,4,4,1,1,5,5,1,3,1,6,4,4,1,3,5,4,5,5,5,1,1,1,5,6,6,7,6,6,6,6,6,6,6,5,5,5,3,6,2,5,4,3,4,3,4,4,2,3,4,4,4,3,3,3,3,4,2,3,3,4,53,1,6,5,50,1
