s.t1,s.t2,s.t3,case,bed
0.007843613373232493,0.24343895865216506,0.3215050541145471,1,0
-0.3119399949377258,0.014738251794792583,0.059517718485924624,3,1
0.4867302372416804,NA,0.11220089524112678,4,0
-0.6931679261669846,-0.67568908924118,NA,5,0
0.3102909335449701,NA,0.32321149272410216,7,1
-0.06452302226986131,-0.19972854642087884,NA,8,1
0.15288230135260758,0.4261166524940582,0.5066754539968243,9,1
-0.06632629289551761,-0.20257617547760068,-0.5565050159773375,10,0
-1.07281365286775,-0.8891774079218807,-0.5442108698540612,11,1
0.3553728707330933,NA,NA,12,1
0.2972434368879945,0.19746525032537765,NA,13,0
0.3999524807424007,0.5680493473705966,NA,14,0
0.24317948968081093,NA,NA,15,1
-0.5261057161408075,NA,-0.8443527920357092,16,1
0.5916106495352103,0.6179900423726734,NA,17,0
0.9757125626762622,0.9263715210492117,0.942566385084094,18,0
-0.813944963950349,NA,NA,20,0
-0.21906106802888708,NA,NA,21,1
-0.1930158077066513,-0.2898812256413561,NA,22,1
-0.07254093014651775,NA,NA,23,1
-0.47886544617818205,-0.5889891211066355,-0.6009224367109839,24,1
0.35969573216717304,0.5221041357230315,0.18455251738865255,25,0
0.16798177041642878,0.13800010673193921,NA,26,0
-0.3176870156785622,-0.1828356569052142,NA,27,1
-0.2400491990432512,0.1402828346417098,0.06588310557380452,28,0
0.9249318031164407,0.8365344530101791,0.7862434944926553,29,0
-0.14825436203731465,0.22247572046007308,0.16283470714076106,30,0
0.19328160427524732,NA,NA,31,1
0.5283074553360095,0.328520096316514,0.5104742053557346,32,1
0.25247671734907356,0.5495241208035424,0.23027132970518263,33,1
-0.6132845378465839,NA,NA,34,0
0.6444966434006558,0.6304622771650116,0.2627597373664756,35,0
0.1599735253378813,0.3469277874051678,0.15656280081289903,36,1
-0.5428121975887694,-1.0058984573702061,NA,37,1
0.21921200939270521,NA,NA,38,0
0.3669164899096748,0.22228065930966828,0.3542800385258229,39,1
0.006388755277657912,-0.13825967117625443,-0.27995719021603666,40,0
-0.22577268558498736,NA,NA,41,1
-0.8881411337138629,-0.941885735352402,NA,43,0
-0.18144533852469286,0.21568306112161018,0.1936223548610059,44,0
0.7128276644284773,0.4064537625641555,0.32052963777079113,45,1
0.9806784153949232,1.0717666137579527,0.9773412568819284,46,1
-0.10171656847675856,NA,-0.495414947943091,47,0
-0.618221285803407,-0.2676893019830838,-0.6458422525246079,49,1
0.3967068857749783,NA,NA,50,0
0.042981820898499126,NA,NA,51,0
-0.538774526039996,-0.18687105053918632,-0.1673761323867808,52,0
-0.5038738583651406,-0.3251305614438592,NA,53,0
0.1488584482276908,0.21245192966612794,0.09751371981050799,54,1
0.23223157356959118,NA,NA,55,1
0.088046304575438,0.13285008520305774,0.33724190911599095,56,1
0.18997166632233878,0.15216919538150514,0.08987227651117605,57,0
-0.49665461768973684,-0.45423925830693435,NA,58,1
0.763465840799416,NA,NA,60,1
-0.43738572791039204,NA,NA,61,1
-0.6138634816352918,-0.8905933561792285,NA,62,0
-0.5416742479366261,NA,NA,63,1
0.6205392809521831,NA,NA,64,0
0.0951315363619453,0.18265375094980132,NA,65,0
-0.6836773885215889,-1.0473861221007161,NA,66,0
-0.8002554412393919,NA,NA,67,0
-0.1883585786455522,0.3868125327327524,0.14162814331030066,68,1
0.05361309889898949,0.3384648144423536,0.43485012802511763,69,0
0.25548689120366946,0.189621655729304,0.3002412437434953,70,1
-0.4589044375246714,-0.5857989030935836,-0.29303823058282413,72,1
-0.21876089059853554,-0.18279514080012282,-0.2060577196923562,73,0
-0.37910822687748263,-0.2363072850171928,-0.1434428186045979,74,0
-0.185318696062672,0.30107608368138356,NA,75,0
-0.7137130616914888,-0.20350721518081863,-0.07709600552457775,76,1
-0.10345762637011705,-0.011290671195092174,-0.025671900697212115,77,0
-0.37437818958760355,NA,-0.5100257956815535,78,1
0.447882890540284,0.3778051467344961,NA,79,0
0.6481143133623026,0.822741049148415,0.7390304759159403,80,0
-0.046626768042084654,NA,NA,81,0
-0.6645699436190585,-0.6902254311035916,-0.7471198679556382,82,0
0.07697959302715662,0.08150080076229846,-0.3411836399283772,83,1
-0.7789637509150361,-1.1724778754093583,-1.0228905242372077,84,0
0.7912643981592093,NA,0.5615693538480748,85,1
0.2743217404097905,NA,-0.14685841077736503,86,0
-1.0616358339926062,NA,NA,87,0
0.8113059475584006,0.6384066570498882,0.4567748902367861,88,1
0.5025205475882525,NA,NA,89,1
-0.5097137914005194,-0.497681101421728,-0.6125900933062987,90,1
0.8492363085012524,NA,NA,91,0
-0.980371651706229,-0.6404297296005248,-0.8645717938194737,92,0
-0.7708439517184946,-0.7166248223009168,-0.7023482352622298,93,0
-0.0612682646283078,NA,0.0017484399440053644,94,1
-0.4358044548913406,NA,-0.4726967363187049,95,0
-0.4398773701569436,NA,-1.1769447521664431,96,1
-0.2246358214079883,NA,NA,98,0
0.22784556645712672,0.14581617638856384,0.3160021412955762,99,1
0.7772724809538977,0.9139216208800993,0.836610034014863,100,1
0.608844089848012,0.48397853378418354,NA,101,0
-0.7145995279412052,-0.10750192935308328,-0.08971918919522384,102,0
-0.2607440431872009,-0.3418207659168587,-0.47108072183239597,104,1
-1.0556504702511265,-0.8241483641690268,-0.79673335719507965,105,0
0.3146123985512388,-0.06315941439721903,0.12452426701650778,106,1
0.06154891398776009,0.27148486424136903,0.006996628385950437,107,1
0.4444347495011586,0.28944980862606645,NA,109,0
0.5730127107215776,NA,0.7807741877672826,110,1
0.36457219628702986,0.4224887272184192,0.29877951676946296,111,0
-1.2542316749305535,-0.7637658042661891,-1.0451015458565598,112,1
0.2894868690196022,0.2340577362038396,0.05723342545824037,113,1
0.7451901441042067,NA,NA,114,1
0.26433517501778847,NA,NA,115,1
-0.07341257600507572,NA,NA,116,0
-0.49210805752310094,NA,NA,117,0
4.0070576068595987e-4,NA,NA,118,1
0.1639832331760148,NA,NA,119,1
0.2618914687397954,0.3251682894782792,0.3807362376633613,120,0
-0.32056126229313325,-0.3792014786610878,-0.8339320396705395,121,0
0.3728210854582989,NA,NA,122,0
-0.29782427581303395,NA,NA,123,0
-0.0011734562088440747,0.24294427686697134,-0.1485937313388961,124,1
0.20901516467995573,NA,NA,125,1
-0.15940158914501137,NA,-0.1698416028818338,126,1
-0.256082481993249,-0.4983288822681388,-0.18762320357746504,127,0
0.011955780474822113,NA,NA,128,0
0.5306483459904882,0.7238505243630181,0.7219229047790641,129,0
0.26149583927778314,0.4696669508532937,0.20424667965832835,130,1
-0.8601631074601066,NA,NA,131,1
-0.3441439649929435,NA,NA,132,0
-0.3080715400801034,-0.3968225710123087,-0.40818355132415235,133,1
0.03300190421741763,0.11300480386632608,0.2811927102028808,134,1
0.018332446611723223,-0.23991404718255113,-0.3260974879088599,135,0
0.5390107618934661,NA,NA,136,1
-0.33644774801796573,NA,-0.4293582387746993,137,0
0.01575774028640898,NA,NA,138,1
0.7894667713852731,0.9591237744718033,1.0763924982833841,139,1
0.7626577985346861,NA,NA,140,1
0.16024628457282844,-0.1417246143999644,-0.21250186639909824,141,0
0.8938361514099438,0.967399612112628,0.8830620275303418,142,1
-0.27188752987371323,0.008153661798741304,0.15005569431462407,143,0
-0.9411357766850587,-0.8273512545503474,-1.1982189607213174,144,1
0.2386637112576556,NA,NA,145,1
-0.689108647730246,-0.3853963585345098,-0.30923011318701776,146,1
0.13895423256184936,NA,0.6731001576789363,147,0
-0.24629781210385218,NA,NA,148,0
0.6245987324863016,0.7749541261156209,NA,149,1
0.39364863988612225,NA,NA,150,0
-0.4297072457785537,NA,NA,151,0
-0.2868812788570309,NA,NA,152,0
0.20717539916831693,0.10995320995795581,0.03078571384510982,153,0
0.9084068064704842,NA,0.8775548845227453,154,1
0.42558768301681327,0.6720007982128375,0.4136690262166955,155,1
0.1268885980675889,-0.08407872005610129,NA,156,0
-0.21725495983450996,NA,0.03289063167943014,157,0
-0.07952556792503077,NA,NA,158,1
-0.8044702455294641,NA,NA,160,1
-0.15974344819290665,NA,NA,161,0
0.27045762924523287,NA,NA,162,1
0.31263564595189663,NA,0.3302172971231405,163,1
-0.10511898323829048,-0.3318520631847879,0.2858814003253694,164,0
0.3179561945844168,0.43302627086251816,NA,165,1
0.4328573127658825,NA,NA,166,1
0.7489214256622897,NA,0.5254644180244508,167,0
0.41616712069367373,0.32006089507106644,0.5395544719633075,168,0
-0.6475633089507473,-0.7582941148390672,-0.7540913822306758,169,1
-0.7879058494489394,-0.8490251389067713,NA,170,1
0.683692481753213,0.6370244751688967,0.6342483434147178,171,1
0.6239695720147265,0.7142213622151191,0.7741017613980716,172,0
-0.07651509792175146,0.10060935499010037,0.4265036841319007,173,0
-0.474101377890464,-0.031864456289811376,-0.47154005084434003,174,1
0.36900218494979414,0.48810473631234697,0.29199082322272324,175,1
0.7431752725832113,0.9202557578456747,0.747758430570051,176,0
-0.9686082492719296,NA,NA,177,0
0.06376510759674196,0.11938667885015748,-0.25213287264382794,178,0
0.4484690798880858,0.14780125233388627,NA,179,1
0.24717603134176638,NA,NA,180,1
0.42273688296972983,0.6030706373371308,0.528136052324342,181,0
0.6754459211644603,NA,NA,182,0
0.8025009665500983,0.5340925693205959,0.5689751774380046,183,1
-0.5327212535730679,NA,NA,184,0
-0.02923490345288093,-0.08131356223831404,0.11611363655821935,185,1
-0.17487070339431213,NA,NA,186,0
-0.1606406215012505,NA,-0.5484170213975746,187,1
0.7241938840308835,0.8789271596362801,0.8459191974636808,188,0
-0.07466098527666463,NA,NA,189,0
-0.19208850022345605,-0.05701902628434001,-0.440149203861635,190,1
0.1958435453015069,NA,0.5446444193434347,191,0
-0.0493109393785207,NA,NA,192,0
-0.13070966850792612,-0.3811216028269906,-0.2307709511829708,193,1
0.06348618212501905,NA,NA,194,0
0.43000919630228734,0.11141665478912878,NA,195,0
0.20204131917111123,-0.1659392308691553,0.07158715423056326,197,0
-0.17170079687808215,NA,NA,198,1
0.4941779815483431,0.6078584168451194,0.33423826847626636,199,1
-0.8501823322951882,-0.09310243437186082,-0.6295346732177495,200,1
-0.9399826960931321,-0.3116044008473712,-0.2341215798230586,201,1
0.4143323741989586,0.40178670476112355,0.4075516394241695,202,0
-0.08426812691848874,NA,NA,204,0
0.2472047911221006,0.2747445947275175,NA,205,0
0.3218296042014944,NA,NA,206,1
0.40526760076043833,0.6433251665997131,0.7758588525875783,208,0
-0.12824094157548202,-0.5892324167688805,-0.6762950693402519,209,0
0.01234407303006053,-0.017385979639047304,-0.27932438183699104,211,0
0.12884126172356813,NA,NA,212,1
-0.33049043780040743,NA,NA,213,1
0.8843457397534557,NA,NA,214,1
-0.2120335151231848,NA,NA,215,0
0.019837537060330344,-0.39522166021653804,0.11262348799599117,216,0
-0.3035245206706234,NA,NA,217,1
0.7413208657927464,NA,NA,218,0
-0.15948778176804917,-0.03622114728883255,-0.11810832667503017,219,0
0.9285166368872054,0.4772235193876399,NA,220,1
0.21317047338282372,NA,NA,221,1
0.5508108928175488,NA,NA,222,1
0.6386424991163294,0.787573568727492,NA,223,1
-0.06741281010918825,NA,NA,224,1
-0.08705205065069456,-0.07078238314684629,-0.32094988888766945,225,1
0.12303448939698783,0.5440011197847837,0.6416408971043237,226,1
-0.28869721944581467,NA,NA,227,0
0.19643939360605056,NA,NA,228,1
0.39538537751365094,NA,NA,229,1
0.5761143901323187,NA,NA,230,1
0.6709080433996607,NA,NA,231,0
-0.32032915307524357,NA,NA,232,1
0.6672492758717143,0.6651774870769989,0.6741399775060378,233,0
-0.5571240180043133,-0.7534877692140276,-1.255782897373165,234,1
0.43407394598156757,0.5256444304497068,NA,235,0
-1.1403097760395604,-1.1333680733593958,NA,236,1
0.7170315574766296,NA,NA,237,0
0.4059107629181176,NA,NA,238,1
NA,-0.7643199713863335,-1.2990957710258864,19,0
NA,0.30335821063843044,NA,42,0
NA,0.1283667047171866,0.08785239318126056,203,0
NA,-1.2220229839853434,NA,48,0
NA,-0.4373181105967795,-0.8639055174010666,103,1
NA,-0.29867407452401484,NA,6,1
NA,0.8714041966688495,0.6574688304351075,59,1
NA,NA,-0.24878606315312124,2,1
NA,NA,-0.8715253475381026,196,1
